name,Occurrence,order,Main page,Store Link,Accessible,Multiplayer,Social,Creator,Origin,Store,Price,Number of Reviews,Temp_reviews_no_n/a,Normalized reviews,Web Visitor Count,Normalized visitors,Popularity via Z-score,Who,Rating,Additional Comments for removal,Official Documentation,External Guides,Video links,Editor,Editor - Description,Scripting,Scripting - Description,Lang,Hosting,Hosting - Description,Peer-review,Review - Description
Horizon Venues,,60,-,https://www.meta.com/en-gb/experiences/3002729676463989/,No,,,,Google search,Meta,,,,,,,,,,,,,,,,,,,,,,
Horizon Workrooms,,61,https://forwork.meta.com/de/en/horizon-workrooms/,https://www.meta.com/en-gb/experiences/2514011888645651/?utm_source=forwork.meta.com&utm_medium=oculusredirect,Yes,Yes,Yes,No,Google search,Meta,Free,724,,,,,,,,,,,,,,,,,,,,
Horizon Workrooms,,64,https://forwork.meta.com/gb/horizon-workrooms/,https://www.oculus.com/experiences/quest/2514011888645651/,Yes,Yes,Yes,No,QuestDB,Quest,Free,711,,,,,,,,,,,,,,,,,,,,
Horror,,16,https://www.meta.com/en-gb/experiences/horror/6904307006303740/,https://www.meta.com/en-gb/experiences/horror/6904307006303740/,Yes,No,,,quest_query_data_social,Quest,0,116,,,,,,,86,,,,,,,,,,,,,
Horror,,12,https://www.meta.com/en-gb/experiences/horror/6904307006303740/,https://www.meta.com/en-gb/experiences/horror/6904307006303740/,Yes,No,,,quest_query_data_metaverse,Quest,0,116,,,,,,,86,,,,,,,,,,,,,
HUMANITY,,21,https://www.meta.com/en-gb/experiences/humanity/10019544428070674/,https://www.meta.com/en-gb/experiences/humanity/10019544428070674/,Yes,No,,,quest_query_data_metaverse,Quest,24.99,76,,,,,,,96,,,,,,,,,,,,,
Hypatia,,70,-,https://store.steampowered.com/app/401970/Hypatia/?snr=1_7_7_151_150_2,Yes,Yes,Yes,No,steam_query_data_vr_multiplayer,Steam,Free,52,,,,,,,71%,,,,,,,,,,,,,
Hypatia,,62,http://www.timefirevr.com/,"https://www.meta.com/en-gb/experiences/pcvr/1281935801880251/
https://store.steampowered.com/app/401970/Hypatia/",Yes,Yes,Yes,No,Google search,"Meta
Steam",Free,66,,,,,,,,,,,,,,,,,,,,
Hyper Dash,,25,https://www.hyperdashvr.com/,https://store.steampowered.com/app/1386890/Hyper_Dash/?snr=1_7_7_151_150_1,,No,,,steam_query_data_vr_multiplayer,Steam,,299,,,,,,,87%,,,,,,,,,,,,,
Hyper Online: Avatar VTuber Studio,,9,https://store.steampowered.com/app/2828790/Hyper_Online_Avatar_VTuber_Studio/?snr=1_7_7_151_150_1,https://store.steampowered.com/app/2828790/Hyper_Online_Avatar_VTuber_Studio/?snr=1_7_7_151_150_1,,No,,,steam_query_data_metaverse,Steam,,49,,,,,,,53%,,,,,,,,,,,,,
Hyperfair VR,,63,https://www.hyperfairplus.de/,,No,,,,Google search,,,,,,,,,,,,,,,,,,,,,,,
iB Cricket,,31,https://www.meta.com/en-gb/experiences/ib-cricket/5437449896288644/,https://www.meta.com/en-gb/experiences/ib-cricket/5437449896288644/,Yes,No,,,quest_query_data_metaverse,Quest,29.99,1305,,,,,,,90,,,,,,,,,,,,,
immerse,,11,https://immerse.io/,https://www.meta.com/en-gb/experiences/immerse-language-learning/3181432891940455/,Yes,No,,,Google search,#N/A,0,,,,,,,,,,,,,,,,,,,,,
Immerse - Language Learning,,25,https://www.meta.com/en-gb/experiences/immerse-language-learning/3181432891940455/,https://www.meta.com/en-gb/experiences/immerse-language-learning/3181432891940455/,Yes,No,,,quest_query_data_social,Quest,0,532,,,,,,,84,,,,,,,,,,,,,
Immerse - Language Learning,,26,https://www.meta.com/en-gb/experiences/immerse-language-learning/3181432891940455/,https://www.meta.com/en-gb/experiences/immerse-language-learning/3181432891940455/,Yes,No,,,quest_query_data_metaverse,Quest,0,532,,,,,,,84,,,,,,,,,,,,,
Immersed,,31,https://immersed.com/,https://www.oculus.com/experiences/quest/2849273531812512/,Yes,Yes,Yes,No,QuestDB,Quest,Free,2618,,,,,,,,,,,,,,,,,,,,
Immersion Sector,,199,-,https://store.steampowered.com/app/1676360/Immersion_Sector/?curator_clanid=4777282,No,Yes,,,SteamDB,Steam,Free,,,,,,,,,,,,,,,,,,,,,
Inlight Spark,,64,https://spark.inlight.ai/,https://www.meta.com/en-gb/experiences/pcvr/1515033125183820/,Yes,Yes,Yes,No,Google search,Meta,Free,10,,,,,,,,,,,,,,,,,,,,
Innerworld,,15,https://www.meta.com/en-gb/experiences/innerworld/5406767536033508/,https://www.meta.com/en-gb/experiences/innerworld/5406767536033508/,Yes,No,,,quest_query_data_social,Quest,Free,486,,,,,,,86,,,,,,,,,,,,,
InnerWorld,,65,https://www.inner.world/home/,https://www.meta.com/en-gb/experiences/5406767536033508/,Yes,No,,,Google search,Meta,Free,,,,,,,,,,,,,,,,,,,,,
Innerworld,,27,https://www.meta.com/en-gb/experiences/innerworld/5406767536033508/,https://www.meta.com/en-gb/experiences/innerworld/5406767536033508/,Yes,No,,,quest_query_data_metaverse,Quest,0,486,,,,,,,86,,,,,,,,,,,,,
Innerworld,,77,https://www.inner.world/home/,https://www.oculus.com/experiences/quest/5406767536033508/,Yes,Yes,,,QuestDB,Quest,Free,485,,,,,,,,,,,,,,,,,,,,
InsiteVR,,66,https://blog.insitevr.com/,,No,,,,Google search,,,,,,,,,,,,,,,,,,,,,,,
InSpaze,,67,https://hellospace.group/,https://apps.apple.com/us/app/inspaze/id6473711864?platform=vision,Yes,Yes,Yes,No,Google search,Apple,Free,37,,,,,,,,,,,,,,,,,,,,
Instagram (Beta),,24,https://www.meta.com/en-gb/experiences/instagram-beta/6102857836422862/,https://www.meta.com/en-gb/experiences/instagram-beta/6102857836422862/,Yes,No,,,quest_query_data_social,Quest,0,254,,,,,,,56,,,,,,,,,,,,,
IronWolf: Free Non-VR Edition,,23,https://www.ionized.tech/,https://store.steampowered.com/app/2530670/IronWolf_Free_NonVR_Edition/?snr=1_7_7_151_150_1,,No,,,steam_query_data_vr_multiplayer,Steam,,435,,,,,,,94%,,,,,,,,,,,,,
Joyverse,,56,https://www.meta.com/en-gb/experiences/joyverse/5547974825318365/,https://www.meta.com/en-gb/experiences/joyverse/5547974825318365/,Yes,Yes,,,quest_query_data_social,Quest,9.99,25,,,,,,,72,,,,,,,,,,,,,
Just Another Cooking Game,,11,https://www.meta.com/en-gb/experiences/just-another-cooking-game/6766207633442740/,https://www.meta.com/en-gb/experiences/just-another-cooking-game/6766207633442740/,Yes,No,,,quest_query_data_metaverse,Quest,0,106,,,,,,,72,,,,,,,,,,,,,
Kartoffl,,93,https://www.meta.com/en-gb/experiences/kartoffl/4725588970834544/,https://www.meta.com/en-gb/experiences/kartoffl/4725588970834544/,Yes,No,,,quest_query_data_metaverse,Quest,9.99,51,,,,,,,96,,,,,,,,,,,,,
Keep Talking and Nobody Explodes,,85,https://www.meta.com/en-gb/experiences/keep-talking-and-nobody-explodes/2010043642376517/,https://www.meta.com/en-gb/experiences/keep-talking-and-nobody-explodes/2010043642376517/,Yes,No,,,quest_query_data_social,Quest,14.99,563,,,,,,,90,,,,,,,,,,,,,
Kong,,59,https://sites.google.com/view/kongvr/home,https://www.oculus.com/experiences/quest/5930522500329653/,Yes,Yes,No,No,QuestDB,Quest,Free,885,,,,,,,,,,,,,,,,,,,,
KoreanWarMemorial,,16,https://store.steampowered.com/app/2252190/KoreanWarMemorial/?snr=1_7_7_151_150_1,https://store.steampowered.com/app/2252190/KoreanWarMemorial/?snr=1_7_7_151_150_1,,No,,,steam_query_data_metaverse,Steam,,17,,,,,,,82%,,,,,,,,,,,,,
KowloonVR,,229,-,https://store.steampowered.com/app/1522520/KowloonVR/?curator_clanid=4777282,No,Yes,,,SteamDB,Steam,Free,,,,,,,,,,,,,,,,,,,,,
LabTrainingVR: Personal Protective Equipment Edition,,97,https://reach.cdc.gov/course/labtrainingvr-personal-protective-equipment-ppe-edition,https://store.steampowered.com/app/1698290/LabTrainingVR_Personal_Protective_Equipment_Edition/?snr=1_7_7_151_150_2,,No,,,steam_query_data_vr_multiplayer,Steam,,15,,,,,,,100%,,,,,,,,,,,,,
Lavender,,68,https://lavendervr.com/,https://store.steampowered.com/app/886710/Lavender/,Yes,,,,Google search,Steam,€16.79,,,,,,,,,,,,,,,,,,,,,
LearnBrite,,69,https://www2.learnbrite.com/,,No,,,,Google search,,,,,,,,,,,,,,,,,,,,,,,
Little Cities,,81,https://www.meta.com/en-gb/experiences/little-cities/4988470131168299/,https://www.meta.com/en-gb/experiences/little-cities/4988470131168299/,Yes,No,,,quest_query_data_metaverse,Quest,19.99,675,,,,,,,90,,,,,,,,,,,,,
LiveLike,,70,-,,No,,,,Google search,,,,,,,,,,,,,,,,,,,,,,,
Lo-Fi Lounge,,88,-,https://store.steampowered.com/app/1513180/LoFi_Lounge/?snr=1_7_7_151_150_2,,Yes,,,steam_query_data_vr_multiplayer,Steam,,11,,,,,,,81%,,,,,,,,,,,,,
Loco Dojo Unleashed,,69,https://www.meta.com/en-gb/experiences/loco-dojo-unleashed/2097356583640894/,https://www.meta.com/en-gb/experiences/loco-dojo-unleashed/2097356583640894/,Yes,No,,,quest_query_data_social,Quest,19.99,174,,,,,,,76,,,,,,,,,,,,,
MageCosmos,,198,https://www.magecosmos.live/,https://store.steampowered.com/app/1617080/MageCosmos/?curator_clanid=4777282,No,Yes,,,SteamDB,Steam,Free,,,,,,,,,,,,,,,,,,,,,
MageCosmos,,47,https://store.steampowered.com/app/1617080/MageCosmos/?snr=1_7_7_151_150_1,https://store.steampowered.com/app/1617080/MageCosmos/?snr=1_7_7_151_150_1,No,Yes,,,steam_query_data_metaverse,Steam,Free,0,,,,,,,-,,,,,,,,,,,,,
MagicCraft,,12,https://store.steampowered.com/app/2395760/MagicCraft/?snr=1_7_7_151_150_1,https://store.steampowered.com/app/2395760/MagicCraft/?snr=1_7_7_151_150_1,,No,,,steam_query_data_metaverse,Steam,,67,,,,,,,76%,,,,,,,,,,,,,
Maloka,,42,https://www.meta.com/en-gb/experiences/maloka/4014704425248676/,https://www.meta.com/en-gb/experiences/maloka/4014704425248676/,Yes,No,,,quest_query_data_metaverse,Quest,0,478,,,,,,,80,,,,,,,,,,,,,
MalovMetaArt Metaverse,,3,https://store.steampowered.com/app/2224020/MalovMetaArt_Metaverse/?snr=1_7_7_151_150_1,https://store.steampowered.com/app/2224020/MalovMetaArt_Metaverse/?snr=1_7_7_151_150_1,,No,,,steam_query_data_metaverse,Steam,,27,,,,,,,81%,,,,,,,,,,,,,
Mannequin,,67,https://www.meta.com/en-gb/experiences/mannequin/7028027297235918/,https://www.meta.com/en-gb/experiences/mannequin/7028027297235918/,Yes,No,,,quest_query_data_social,Quest,19.99,197,,,,,,,94,,,,,,,,,,,,,
Manova,,71,-,,No,,,,Google search,,,,,,,,,,,,,,,,,,,,,,,
Many Worlds VR,,170,https://manyworldsvr.com/,https://store.steampowered.com/app/1496000/Many_Worlds_VR/?curator_clanid=4777282,No,Yes,,,SteamDB,Steam,Free,,,,,,,,,,,,,,,,,,,,,
Many Worlds VR,,44,https://store.steampowered.com/app/1496000/Many_Worlds_VR/?snr=1_7_7_151_150_1,https://store.steampowered.com/app/1496000/Many_Worlds_VR/?snr=1_7_7_151_150_1,No,Yes,,,steam_query_data_metaverse,Steam,Free,0,,,,,,,-,,,,,,,,,,,,,
MarineVerse Cup,,77,https://www.meta.com/en-gb/experiences/marineverse-cup/2465388190184288/,https://www.meta.com/en-gb/experiences/marineverse-cup/2465388190184288/,Yes,No,,,quest_query_data_social,Quest,19.99,177,,,,,,,88,,,,,,,,,,,,,
Masterpiece X,,13,https://www.meta.com/en-gb/experiences/masterpiece-x/5502306219889537/,https://www.meta.com/en-gb/experiences/masterpiece-x/5502306219889537/,Yes,No,,,quest_query_data_metaverse,Quest,0,45,,,,,,,64,,,,,,,,,,,,,
MasterpieceVR,,72,https://masterpiecestudio.com/,"https://www.meta.com/en-gb/experiences/pcvr/361221470668584/
https://store.steampowered.com/app/504650/MasterpieceVR/",No,,,,Google search,"Meta
Steam","Not downloadable
Not downloadable",,,,,,,,,,,,,,,,,,,,,
MAYA: The Birth of a Superhero,,66,https://www.meta.com/en-gb/experiences/maya-the-birth-of-a-superhero/8508005729209838/,https://www.meta.com/en-gb/experiences/maya-the-birth-of-a-superhero/8508005729209838/,Yes,No,,,quest_query_data_metaverse,Quest,0,102,,,,,,,64,,,,,,,,,,,,,
McOsu,,11,-,https://store.steampowered.com/app/607260/McOsu/?snr=1_7_7_151_150_1,,No,,,steam_query_data_vr_multiplayer,Steam,,6005,,,,,,,88%,,,,,,,,,,,,,
"Medicalholodeck. Anatomy, Medical Imaging (DICOM), and Automatic Segmentation in VR and AR. For Medical Education and Professionals.",,25,https://store.steampowered.com/app/754010/Medicalholodeck_Anatomy_Medical_Imaging_DICOM_and_Automatic_Segmentation_in_VR_and_AR_For_Medical_Education_and_Professionals/?snr=1_7_7_151_150_1,https://store.steampowered.com/app/754010/Medicalholodeck_Anatomy_Medical_Imaging_DICOM_and_Automatic_Segmentation_in_VR_and_AR_For_Medical_Education_and_Professionals/?snr=1_7_7_151_150_1,,No,,,steam_query_data_metaverse,Steam,,53,,,,,,,75%,,,,,,,,,,,,,
meetingRoom,,73,-,,No,,,,Google search,,,,,,,,,,,,,,,,,,,,,,,
MeetinVR,,14,https://www.meta.com/en-gb/experiences/meetinvr/1760132027421053/,https://www.meta.com/en-gb/experiences/meetinvr/1760132027421053/,Yes,Yes,Yes,No,quest_query_data_metaverse,Quest,Free,86,,,,,,,70,,,,,,,,,,,,,
MeetinVR,,3,https://www.meta.com/en-gb/experiences/meetinvr/1760132027421053/,https://www.meta.com/en-gb/experiences/meetinvr/1760132027421053/,Yes,Yes,Yes,No,quest_query_data_social,Quest,Free,86,,,,,,,70,,,,,,,,,,,,,
MeetinVR,,74,https://www.meetinvr.com/,"https://www.meetinvr.com/download/
https://www.meta.com/en-gb/experiences/1760132027421053/",Yes,Yes,Yes,No,Google search,"Main page
Meta","Free
Free",,,,,,,,,,,,,,,,,,,,,
MeetinVR,,173,https://www.meetinvr.com/,https://www.oculus.com/experiences/quest/1760132027421053/,Yes,Yes,Yes,No,QuestDB,Quest,Free,86,,,,,,,,,,,,,,,,,,,,
MEs,,46,https://store.steampowered.com/app/2361710/MEs/?snr=1_7_7_151_150_1,https://store.steampowered.com/app/2361710/MEs/?snr=1_7_7_151_150_1,No,Yes,,,steam_query_data_metaverse,Steam,,0,,,,,,,-,,,,,,,,,,,,,
Meta Horizon Terrace,,9,https://www.meta.com/en-gb/experiences/23954694280811521,https://www.meta.com/en-gb/experiences/23954694280811521,No,,,,quest_query_data_metaverse,Quest,,,,,,,,,100,,,,,,,,,,,,,
ChilloutVR,,8,https://abinteractive.net/,https://store.steampowered.com/app/661130/ChilloutVR/?snr=1_7_7_151_150_1,Yes,Yes,Yes,Yes,steam_query_data_metaverse,Steam,Free,2332,2332,-0.2079825943,13447,-0.1945038247,-0.4025,A1,81%,,,,https://www.youtube.com/watch?v=OatATrRSO2A,Game Engine + SDK,Unity + their SDK,full code,Script in C#,C#,Cloud,World are uploaded to their server.,"Test Case, possible further review",Automatic Security checks when uploading world.
Meta Horizon Worlds,,2,https://www.meta.com/en-gb/experiences/meta-horizon-worlds/2532035600194083/,https://www.meta.com/en-gb/experiences/meta-horizon-worlds/2532035600194083/,Yes,Yes,Yes,Yes,quest_query_data_metaverse,Quest,Free,9082,,,,,,,72,,,,,,,,,,,,,
Meta Horizon Worlds,,42,https://www.oculus.com/,https://www.oculus.com/experiences/quest/3002729676463989/,Yes,Yes,Yes,Yes,QuestDB,Quest,Free,1721,,,,,,,,,,,,,,,,,,,,
Meta Horizon Worlds,,84,https://www.meta.com/en-gb/experiences/meta-horizon-worlds/2532035600194083/,https://www.meta.com/en-gb/experiences/meta-horizon-worlds/2532035600194083/,Yes,Yes,Yes,Yes,quest_query_data_social,Quest,Free,9082,,,,,,,72,,,,,,,,,,,,,
Meta Horizon Worlds,,10,https://horizon.meta.com/,https://www.oculus.com/experiences/quest/2532035600194083/,Yes,Yes,Yes,Yes,QuestDB,Quest,Free,8683,,,,,,,,,,,,,,,,,,,,
Meta Quest TV,,45,-,https://www.oculus.com/experiences/quest/1931356740318898/,Yes,No,,,QuestDB,Quest,Free,1626,,,,,,,,,,,,,,,,,,,,
Metaisland,,38,https://store.steampowered.com/app/1782180/Metaisland/?snr=1_7_7_151_150_1,https://store.steampowered.com/app/1782180/Metaisland/?snr=1_7_7_151_150_1,No,,,,steam_query_data_metaverse,Steam,,0,,,,,,,-,,,,,,,,,,,,,
Metaverse Construction Kit,,2,https://store.steampowered.com/app/422630/Metaverse_Construction_Kit/?snr=1_7_7_151_150_1,https://store.steampowered.com/app/422630/Metaverse_Construction_Kit/?snr=1_7_7_151_150_1,,No,,,steam_query_data_metaverse,Steam,,226,,,,,,,67%,,,,,,,,,,,,,
Metaverse Keeper Demo,,5,https://store.steampowered.com/app/698870/Metaverse_Keeper/?snr=1_7_7_151_150_1,https://store.steampowered.com/app/698870/Metaverse_Keeper/?snr=1_7_7_151_150_1,,No,,,steam_query_data_metaverse,Steam,,0,,,,,,,-,,,,,,,,,,,,,
Neos VR,,14,https://neos.com/,https://store.steampowered.com/app/740250/Neos_VR/,Yes,Yes,Yes,Yes,Google search,Steam,Free,2245,2245,-0.2102892636,6153,-0.1945165049,-0.4048,A2,,,https://wiki.neosvr.com/Main_Page,https://hackmd.io/@kohx/Syj3OwQJp,https://www.youtube.com/@Frooxius,In-app,In-app custom creator tool,visual scripting,In-app with LogiX language,,"Cloud, Self-hosted",Can choose to host world in cloud or self-hosted,No peer review,Only need to submit world orb.
MikoVerse,,93,-,https://store.steampowered.com/app/1914710/MikoVerse/?curator_clanid=4777282,Book,Yes,,,SteamDB,Steam,Free,,,,,,,,,,,,,,,,,,,,,
Mindset,,40,https://www.meta.com/en-gb/experiences/mindset/5981642121902237/,https://www.meta.com/en-gb/experiences/mindset/5981642121902237/,Yes,No,,,quest_query_data_metaverse,Quest,9.99,33,,,,,,,70,,,,,,,,,,,,,
MiRacle Pool,,58,https://www.meta.com/en-gb/experiences/miracle-pool/7067612163334384/,https://www.meta.com/en-gb/experiences/miracle-pool/7067612163334384/,Yes,No,,,quest_query_data_social,Quest,14.99,925,,,,,,,96,,,,,,,,,,,,,
MiRacle Pool,,71,https://www.meta.com/en-gb/experiences/miracle-pool/7067612163334384/,https://www.meta.com/en-gb/experiences/miracle-pool/7067612163334384/,Yes,No,,,quest_query_data_metaverse,Quest,14.99,925,,,,,,,96,,,,,,,,,,,,,
Mist Slayer Demo,,60,https://store.steampowered.com/app/2088650/Mist_Slayer/?snr=1_7_7_151_150_2,https://store.steampowered.com/app/2088650/Mist_Slayer/?snr=1_7_7_151_150_2,,No,,,steam_query_data_metaverse,Steam,,0,,,,,,,-,,,,,,,,,,,,,
Mistika VR Connect,,20,https://www.meta.com/en-gb/experiences/mistika-vr-connect/6042872962404291/,https://www.meta.com/en-gb/experiences/mistika-vr-connect/6042872962404291/,Yes,No,,,quest_query_data_metaverse,Quest,0,14,,,,,,,68,,,,,,,,,,,,,
MLK: Now is the Time,,88,https://www.meta.com/en-gb/experiences/mlk-now-is-the-time/4790561384366997/,https://www.meta.com/en-gb/experiences/mlk-now-is-the-time/4790561384366997/,Yes,No,,,quest_query_data_metaverse,Quest,0,96,,,,,,,80,,,,,,,,,,,,,
Modules,,31,https://store.steampowered.com/app/2266160/Modules/?snr=1_7_7_151_150_1,https://store.steampowered.com/app/2266160/Modules/?snr=1_7_7_151_150_1,,No,,,steam_query_data_metaverse,Steam,,47,,,,,,,82%,,,,,,,,,,,,,
Monke Buddys,,62,https://sites.google.com/view/monkebuddysvr/home,https://www.oculus.com/experiences/quest/5282789891825317/,Yes,Yes,No,No,QuestDB,Quest,Free,729,,,,,,,,,,,,,,,,,,,,
Monkey Doo,,36,https://www.meta.com/en-gb/experiences/monkey-doo/5635852399856124/,https://www.meta.com/en-gb/experiences/monkey-doo/5635852399856124/,Yes,No,,,quest_query_data_social,Quest,0,7236,,,,,,,92,,,,,,,,,,,,,
Monkey Doo,,44,https://www.meta.com/en-gb/experiences/monkey-doo/5635852399856124/,https://www.meta.com/en-gb/experiences/monkey-doo/5635852399856124/,Yes,No,,,quest_query_data_metaverse,Quest,0,7236,,,,,,,92,,,,,,,,,,,,,
Monkey Mischief,,69,https://grpgames.com/,https://store.steampowered.com/app/3098490/Monkey_Mischief/?curator_clanid=4777282,No,Yes,,,SteamDB,Steam,Free,,,,,,,,,,,,,,,,,,,,,
Monkey Mischief,,54,https://www.meta.com/en-gb/experiences/monkey-mischief/5077064592389695/,https://www.meta.com/en-gb/experiences/monkey-mischief/5077064592389695/,Yes,No,,,quest_query_data_metaverse,Quest,Free,2680,,,,,,,68,,,,,,,,,,,,,
Monkey Mischief,,29,https://grpgames.com/,https://www.oculus.com/experiences/quest/5077064592389695/,Yes,Yes,,,QuestDB,Quest,Free,2676,,,,,,,,,,,,,,,,,,,,
Monkeys Place,,39,https://luwigames.com/index.html,https://www.oculus.com/experiences/quest/6198284860201271/,Yes,Yes,Yes,No,QuestDB,Quest,Free,1902,,,,,,,,,,,,,,,,,,,,
Monkeys Place,,18,https://www.meta.com/en-gb/experiences/monkeys-place/6198284860201271/,https://www.meta.com/en-gb/experiences/monkeys-place/6198284860201271/,Yes,No,Yes,No,quest_query_data_metaverse,Quest,Free,1926,,,,,,,86,,,,,,,,,,,,,
Monkeys Realm,,48,https://luwigames.com/,https://www.oculus.com/experiences/quest/5764893640283538/,Yes,Yes,Yes,No,QuestDB,Quest,Free,1428,,,,,,,,,,,,,,,,,,,,
Mountain Study,,8,https://www.meta.com/en-gb/experiences/5077315605654672,https://www.meta.com/en-gb/experiences/5077315605654672,No,,,,quest_query_data_metaverse,Quest,,,,,,,,,74,,,,,,,,,,,,,
Mozilla Hubs,,6,-,#N/A,No,Yes,,,Google search,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,
MultiBrush,,35,https://www.meta.com/en-gb/experiences/multibrush/3438333449611263/,https://www.meta.com/en-gb/experiences/multibrush/3438333449611263/,Yes,No,,,quest_query_data_social,Quest,19.99,133,,,,,,,84,,,,,,,,,,,,,
Villa: AI Creation & Collaboration,,36,https://www.villa.rocks/,https://www.oculus.com/experiences/quest/4784171281624823/,Yes,Yes,Yes,Yes,QuestDB,Quest,Free,2192,2192,-0.211694476,1652,-0.1945243296,-0.4062,A1,,PAID,,,,,,,,,,,,
Multiverse,,29,https://www.meta.com/en-gb/experiences/multiverse/1976071352472244/,https://www.meta.com/en-gb/experiences/multiverse/1976071352472244/,Yes,No,Yes,Yes,quest_query_data_social,Quest,Free,1001,,,,,,,70,,,,,,,,,,,,,
Multiverse,,56,https://www.multiverseupdates.com/,https://www.oculus.com/experiences/quest/1976071352472244/,Yes,Yes,Yes,Yes,QuestDB,Quest,Free,992,,,,,,,,,,,,,,,,,,,,
Museum of Other Realities,,37,https://www.museumor.com/,https://store.steampowered.com/app/613900/Museum_of_Other_Realities/?snr=1_7_7_151_150_1,,Yes,Yes,No,steam_query_data_vr_multiplayer,Steam,,403,,,,,,,91%,,,,,,,,,,,,,
Museum of Other Realities,,76,https://www.museumor.com/,https://store.steampowered.com/app/613900/Museum_of_Other_Realities/?snr=1_7_7_151_150_1,,Yes,Yes,No,Google search,,,,,,,,,,,,,,,,,,,,,,,
MYX,,184,https://gamejolt.com/@FunderStudios,https://www.oculus.com/experiences/quest/8008994102505637/,Yes,Yes,Yes,No,QuestDB,Quest,Free,80,,,,,,,,,,,,,,,,,,,,
Naer,,77,https://www.meta.com/en-gb/experiences/naer/3758954627491820/,https://www.meta.com/en-gb/experiences/naer/3758954627491820/,Yes,Yes,Yes,No,quest_query_data_metaverse,Quest,0,31,,,,,,,92,,,,,,,,,,,,,
Nanome,,48,https://www.meta.com/en-gb/experiences/nanome/2038368596280231/,https://www.meta.com/en-gb/experiences/nanome/2038368596280231/,Yes,No,,,quest_query_data_metaverse,Quest,Free,23,,,,,,,76,,,,,,,,,,,,,
Nanome,,77,https://nanome.ai/,https://www.meta.com/en-gb/experiences/nanome/2038368596280231/,Yes,No,,,Google search,,Free,,,,,,,,,,,,,,,,,,,,,
Nemesis Perspective,,47,-,https://store.steampowered.com/app/537140/Nemesis_Perspective/?snr=1_7_7_151_150_1,,No,,,steam_query_data_vr_multiplayer,Steam,,130,,,,,,,89%,,,,,,,,,,,,,
AltspaceVR,,54,http://www.altvr.com/,https://www.oculus.com/experiences/quest/2133027990157329/,Yes,Yes,Yes,Yes,QuestDB,Quest,Free,1106,1106,-0.2404880729,1307,-0.1945249293,-0.4350,A2,,Shutted down,,,,,,,,,,,,
Resonite,,16,https://resonite.com/,https://store.steampowered.com/app/2519830/Resonite/?snr=1_7_7_151_150_1,Yes,Yes,Yes,Yes,steam_query_data_vr_multiplayer,Steam,Free,1041,1041,-0.2422114465,118901,-0.1943204997,-0.4365,A2,82%,,https://wiki.resonite.com/Main_Page#Creation_&_Technical,https://protoflux.wiki/#/,https://www.youtube.com/playlist?list=PL8Q4ZMU6BghtpoSR3t9n_EgR3kZrEsK-i,In-app,In-app editor.,visual scripting,In-app with Protoflux language,,Cloud,The worlds are directly published inside the application,No peer review,No review.
Neos VR,,51,-,https://store.steampowered.com/app/740250/Neos_VR/?curator_clanid=4777282,Yes,Yes,Yes,Yes,SteamDB,Steam,Free,,,,,,,,,,,,,,,,,,,,,
Neos VR,,29,https://store.steampowered.com/app/740250/Neos_VR/?snr=1_7_7_151_150_1,https://store.steampowered.com/app/740250/Neos_VR/?snr=1_7_7_151_150_1,Yes,Yes,Yes,Yes,steam_query_data_metaverse,Steam,Free,2246,,,,,,,54%,,,,,,,,,,,,,
Nero Score - PC benchmark & performance test,,13,https://store.steampowered.com/app/1942030/Nero_Score__PC_benchmark__performance_test/?snr=1_7_7_151_150_1,https://store.steampowered.com/app/1942030/Nero_Score__PC_benchmark__performance_test/?snr=1_7_7_151_150_1,,No,,,steam_query_data_metaverse,Steam,,19,,,,,,,52%,,,,,,,,,,,,,
Neutrans,,78,http://neutrans.space,"https://www.meta.com/en-gb/experiences/pcvr/484255391698530/
https://store.steampowered.com/app/690690/NEUTRANS/",Yes,Yes,Yes,No,Google search,"Meta
Steam","Not downloadable
Free",0,,,,,,,,,,,,,,,,,,,,
NeverRage Demo,,56,https://store.steampowered.com/app/1761730/NeverRage/?snr=1_7_7_151_150_2,https://store.steampowered.com/app/1761730/NeverRage/?snr=1_7_7_151_150_2,,No,,,steam_query_data_metaverse,Steam,,0,,,,,,,-,,,,,,,,,,,,,
NHL SENSE ARENA,,69,https://www.meta.com/en-gb/experiences/nhl-sense-arena/3454538864674405/,https://www.meta.com/en-gb/experiences/nhl-sense-arena/3454538864674405/,Yes,No,,,quest_query_data_metaverse,Quest,0,544,,,,,,,80,,,,,,,,,,,,,
No More Rainbows,,14,https://www.meta.com/en-gb/experiences/no-more-rainbows/5446476285387663/,https://www.meta.com/en-gb/experiences/no-more-rainbows/5446476285387663/,Yes,No,,,quest_query_data_social,Quest,19.99,5865,,,,,,,96,,,,,,,,,,,,,
Noclip VR,,10,https://www.meta.com/en-gb/experiences/noclip-vr/5407386572706843/,https://www.meta.com/en-gb/experiences/noclip-vr/5407386572706843/,Yes,No,,,quest_query_data_metaverse,Quest,0,5201,,,,,,,90,,,,,,,,,,,,,
Noda,,86,https://noda.io/,https://store.steampowered.com/app/578060/Noda/?snr=1_7_7_151_150_2,Yes,No,,,steam_query_data_vr_multiplayer,Steam,Free,38,,,,,,,86%,,,,,,,,,,,,,
