name,Occurrence,order,Main page,Store Link,Accessible,Multiplayer,Social,Creator,Origin,Store,Price,Number of Reviews,Temp_reviews_no_n/a,Normalized reviews,Web Visitor Count,Normalized visitors,Popularity via Z-score,Who,Rating,Additional Comments for removal,Official Documentation,External Guides,Video links,Editor,Editor - Description,Scripting,Scripting - Description,Lang,Hosting,Hosting - Description,Peer-review,Review - Description
Rec Room,,4,https://recroom.com/,https://store.steampowered.com/app/471710/Rec_Room/?snr=1_7_7_151_150_1,Yes,Yes,Yes,Yes,steam_query_data_vr_multiplayer,Steam,Free,65671,65671,1.471352241,330865,-0.1939520138,1.2774,A1,90%,,https://rec.net/creator,https://docs.alexagirl.studio/docs/SavingRooms/publishing,,"In-app, Game Engine + SDK",In-app custom creator tool,"logic flow scripting, full code",In the in-app creation tool. In the Unity+SDK you should have access to scripts in C#.,C#,Cloud,The room are directly uploaded to the recroom cloud,No peer review,It does Automated image scanning to prevent unwanted content in game such as inappropriate shirts. But it does not appear to have any review process. Actually it ask the users to report problems if they see them.
Arthur,,25,https://www.arthur.digital/,https://www.arthur.digital/,No,Yes,Yes,Yes,Google search,Main page,Free,,,,,,,,,,,,,,,,,,,,,
Asgard's Wrath 2,,94,https://www.meta.com/en-gb/experiences/asgards-wrath-2/2603836099654226/,https://www.meta.com/en-gb/experiences/asgards-wrath-2/2603836099654226/,Yes,No,,,quest_query_data_metaverse,Quest,59.99,4717,,,,,,,84,,https://docs.sansar.com/untitled,https://github.com/Wookey-Technologies/sansar-script,https://www.youtube.com/watch?v=iYDsM7xYdDc,"In-app, Custom, Game Engine + SDK",In-app custom editor,full code,Allows adding scripts to objects using C# inside the editor.,C#,Cloud,The worlds and scenes are published from the editor or application to Atlas.,No peer review,No review before publishing but users can report worlds or scenes for violations.
Ashes Of Idunn: Tales Of Fimbulwinter,,22,https://store.steampowered.com/app/2997410/Ashes_Of_Idunn_Tales_Of_Fimbulwinter/?snr=1_7_7_151_150_1,https://store.steampowered.com/app/2997410/Ashes_Of_Idunn_Tales_Of_Fimbulwinter/?snr=1_7_7_151_150_1,,No,,,steam_query_data_metaverse,Steam,,18,,,,,,,66%,,,,,,,,,,,,,
Assassin’s Creed® Nexus VR,,53,https://www.meta.com/en-gb/experiences/assassins-creed-nexus-vr/5812519008825194/,https://www.meta.com/en-gb/experiences/assassins-creed-nexus-vr/5812519008825194/,Yes,No,,,quest_query_data_metaverse,Quest,39.99,3836,,,,,,,86,,,,,,,,,,,,,
Augmented Empire,,15,https://coatsink.com/games/augmented-empire,#N/A,Yes,No,,,Google search,#N/A,#N/A,,,,,,,,,Could not find a way to create a room. Also Paid,,,,,,,,,,,,
Autodesk Workshop XR,,64,https://www.meta.com/en-gb/experiences/autodesk-workshop-xr/6311586865616787/,https://www.meta.com/en-gb/experiences/autodesk-workshop-xr/6311586865616787/,Yes,Yes,Yes,No,quest_query_data_metaverse,Quest,0,6,,,,,,,46,,,,,,,,,,,,,
Avatar Chat,,26,https://about.imvu.com/,#N/A,#N/A,#N/A,,,Google search,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,
BackRooms,,14,https://store.steampowered.com/app/1906190/BackRooms/?snr=1_7_7_151_150_1,https://store.steampowered.com/app/1906190/BackRooms/?snr=1_7_7_151_150_1,,No,,,steam_query_data_metaverse,Steam,,0,,,,,,,-,,,,,,,,,,,,,
beanvr,,12,-,"https://www.meta.com/en-gb/experiences/pcvr/1117067631733272/
https://store.steampowered.com/app/638920/BeanVRThe_Social_VR_APP/
https://www.viveport.com/apps/3dda2260-a5cc-470b-b880-5cd7f35bc48d?hl=en-US",Yes,Yes,Yes,No,Google search,"Meta
Steam
Vive","Not downloadable
Free
Free",32,,,,,,,,,https://docs.viverse.com/docs/viverse-create,-,https://www.youtube.com/playlist?app=desktop&list=PLGVnmfrayaVY5x-kM6VZOjvnBLbsfnJKA,Game Engine + SDK,Uses Playcanvas Editor. It also allows exporting from Unity projects.,full code,Uses JavaScript inside the Playcanvas Editor. It might allows scripting with C# when using Unity,JS,Cloud,The worlds and scenes are directly accesible via URL after publishing.,No peer review,No information about review.
BeanVR—The Social VR APP,,290,-,https://store.steampowered.com/app/638920/BeanVRThe_Social_VR_APP/?curator_clanid=4777282,Yes,Yes,Yes,No,SteamDB,Steam,Free,,,,,,,,,,https://support.framevr.io/framevr/Frame-Knowledge-Base-cfc4bc81aa1442a9a2dd9e995dbaeab0,-,https://www.youtube.com/watch?v=IP_dpyjyJKg,"Custom, In-app",Uses 3D tools to create objects that can be imported.,no-code,Action triggers,Js,Cloud,The worlds and scenes are directly accesible via URL.,No peer review,No review.
BeanVR—The Social VR APP,,87,-,https://store.steampowered.com/app/638920/BeanVRThe_Social_VR_APP/?snr=1_7_7_151_150_2,Yes,Yes,Yes,No,steam_query_data_vr_multiplayer,Steam,Free,50,,,,,,,46%,Paid for creating worlds (Need to buy a plot before editing the plot),https://somniumspace.com/documentation,-,,Game Engine + SDK,Uses Unity or PlayCanvas with Somnium SDK.,,,,,,No peer review,
BEAT ARENA,,53,https://www.meta.com/en-gb/experiences/beat-arena/2301375123298882/,https://www.meta.com/en-gb/experiences/beat-arena/2301375123298882/,Yes,No,,,quest_query_data_social,Quest,29.99,204,,,,,,,84,,https://docs.sine.space/,https://trilo.org/2019/06/06/how-to-create-regions/,"https://www.youtube.com/c/SineWave
https://www.youtube.com/watch?v=Lmh5VWBsJB8","Game Engine + SDK, In-app",Uses Unity with SDK or in-app editor.,full code,Uses Lua,Lua,Cloud,Hosted on cloud.,No peer review,No information about review.
Betaverse,,184,-,https://store.steampowered.com/app/1542350/Betaverse/?curator_clanid=4777282,No,Yes,,,SteamDB,Steam,Free,,,,,,,,,,,,,,,,,,,,,
BIG BALLERS VR,,9,https://www.meta.com/en-gb/experiences/big-ballers-vr/3947713001963656/,https://www.meta.com/en-gb/experiences/big-ballers-vr/3947713001963656/,Yes,No,,,quest_query_data_social,Quest,0,15198,,,,,,,96,,,,,,,,,,,,,
BIG BALLERS VR,,37,https://www.meta.com/en-gb/experiences/big-ballers-vr/3947713001963656/,https://www.meta.com/en-gb/experiences/big-ballers-vr/3947713001963656/,Yes,No,,,quest_query_data_metaverse,Quest,0,15198,,,,,,,96,,,,,,,,,,,,,
BIG SHOTS,,80,https://www.meta.com/en-gb/experiences/big-shots/6621849171203339/,https://www.meta.com/en-gb/experiences/big-shots/6621849171203339/,Yes,No,,,quest_query_data_social,Quest,19.99,47,,,,,,,82,,,,,,,,,,,,,
Bigscreen Beta,,1,https://www.bigscreenvr.com/,https://www.meta.com/en-gb/experiences/2497738113633933/,Yes,Yes,Yes,No,Google search,Meta,Free,"4,498",,,,,,,,,,,,,,,,,,,,
Bigscreen Beta,,15,https://www.bigscreenvr.com/,https://store.steampowered.com/app/457550/Bigscreen_Beta/?snr=1_7_7_151_150_1,Yes,Yes,Yes,No,steam_query_data_vr_multiplayer,Steam,Free,3068,,,,,,,85%,,,,,,,,,,,,,
Bigscreen Beta,,23,https://www.bigscreenvr.com/software,https://store.steampowered.com/app/457550/Bigscreen_Beta/?curator_clanid=4777282,Yes,Yes,Yes,No,SteamDB,Steam,Free,,,,,,,,,,,,,,,,,,,,,
Bigscreen Beta,,20,https://www.bigscreenvr.com/software,https://www.oculus.com/experiences/quest/2497738113633933/,Yes,Yes,Yes,No,QuestDB,Quest,Free,4439,,,,,,,,,,,,,,,,,,,,
Blacktop Hoops,,46,https://www.meta.com/en-gb/experiences/blacktop-hoops/4416817901687071/,https://www.meta.com/en-gb/experiences/blacktop-hoops/4416817901687071/,Yes,No,,,quest_query_data_social,Quest,29.99,19831,,,,,,,98,,,,,,,,,,,,,
Blaston,,33,https://www.resolutiongames.com/blaston,https://store.steampowered.com/app/1427890/Blaston/?snr=1_7_7_151_150_1,,No,,,steam_query_data_vr_multiplayer,Steam,,553,,,,,,,91%,,,,,,,,,,,,,
Blue Hill Gold Mine,,34,https://www.meta.com/en-gb/experiences/9465027033537283,https://www.meta.com/en-gb/experiences/9465027033537283,No,,,,quest_query_data_metaverse,Quest,,,,,,,,,0,,,,,,,,,,,,,
BMW M Hybrid V8,,67,-,https://store.steampowered.com/app/2973280/BMW_M_Hybrid_V8/?snr=1_7_7_151_150_2,,No,,,steam_query_data_vr_multiplayer,Steam,,56,,,,,,,89%,,,,,,,,,,,,,
BOSS FIGHTERS,,65,https://bossfighters.game/,https://store.steampowered.com/app/1784650/BOSS_FIGHTERS/?snr=1_7_7_151_150_2,,No,,,steam_query_data_vr_multiplayer,Steam,,0,,,,,,,-,,,,,,,,,,,,,
Bounce Shot,,63,https://www.meta.com/en-gb/experiences/bounce-shot/5315620021784200/,https://www.meta.com/en-gb/experiences/bounce-shot/5315620021784200/,Yes,No,,,quest_query_data_social,Quest,3.99,131,,,,,,,86,,,,,,,,,,,,,
Breakroom,,27,https://www.breakroom.net/,,No,,,,Google search,,,,,,,,,,,,,,,,,,,,,,,
Caliban Below,,73,-,https://store.steampowered.com/app/649890/Caliban_Below/?snr=1_7_7_151_150_2,,No,,,steam_query_data_vr_multiplayer,Steam,,215,,,,,,,93%,,,,,,,,,,,,,
Campfire,,70,https://www.meta.com/en-gb/experiences/campfire/6927340777330402/,https://www.meta.com/en-gb/experiences/campfire/6927340777330402/,Yes,No,,,quest_query_data_metaverse,Quest,0,34,,,,,,,76,,,,,,,,,,,,,
canVERSE,,26,https://store.steampowered.com/app/1710720/canVERSE/?snr=1_7_7_151_150_1,https://store.steampowered.com/app/1710720/canVERSE/?snr=1_7_7_151_150_1,,Yes,No,No,steam_query_data_metaverse,Steam,,25,,,,,,,68%,,,,,,,,,,,,,
Capsa,,28,-,https://store.steampowered.com/app/588120/Capsa/,No,No,,,Google search,Steam,Free,,,,,,,,,,,,,,,,,,,,,
Capuchin,,11,https://capuchinvr.com/,https://www.oculus.com/experiences/quest/5409297455797322/,Yes,Yes,Yes,No,QuestDB,Quest,Free,8570,,,,,,,,,,,,,,,,,,,,
Cards & Tankards,,30,https://cardsandtankards.com/,https://store.steampowered.com/app/1506850/Cards__Tankards/?snr=1_7_7_151_150_1,Yes,Yes,Yes,No,steam_query_data_vr_multiplayer,Steam,Free,769,,,,,,,89%,,,,,,,,,,,,,
Cards & Tankards,,52,https://www.meta.com/en-gb/experiences/cards-tankards/3073319699437112/,https://www.meta.com/en-gb/experiences/cards-tankards/3073319699437112/,Yes,Yes,Yes,No,quest_query_data_social,Quest,Free,1487,,,,,,,84,,,,,,,,,,,,,
Carly and the Reaperman,,62,https://www.meta.com/en-gb/experiences/carly-and-the-reaperman/3285668754893704/,https://www.meta.com/en-gb/experiences/carly-and-the-reaperman/3285668754893704/,Yes,No,,,quest_query_data_social,Quest,19.99,157,,,,,,,82,,,,,,,,,,,,,
Catan VR,,39,https://www.meta.com/en-gb/experiences/catan-vr/3882524545155280/,https://www.meta.com/en-gb/experiences/catan-vr/3882524545155280/,Yes,No,,,quest_query_data_social,Quest,14.99,482,,,,,,,78,,,,,,,,,,,,,
Cebus,,34,https://sites.google.com/view/sl-studios/home,https://www.oculus.com/experiences/quest/6404015439622172/,Yes,Yes,Yes,No,QuestDB,Quest,Free,2312,,,,,,,,,,,,,,,,,,,,
CGI™: The Game,,21,https://store.steampowered.com/app/2251930/CGI_The_Game/?snr=1_7_7_151_150_1,https://store.steampowered.com/app/2251930/CGI_The_Game/?snr=1_7_7_151_150_1,,No,,,steam_query_data_metaverse,Steam,,11,,,,,,,81%,,,,,,,,,,,,,
Chaos,,27,-,https://store.steampowered.com/app/1230410/Chaos/?snr=1_7_7_151_150_1,,No,,,steam_query_data_vr_multiplayer,Steam,,3862,,,,,,,88%,,,,,,,,,,,,,
Cheerio,,29,https://www.cheerioworld.com/,https://www.meta.com/en-gb/experiences/cheerio/3703371516396691/?utm_source=cheerioworld.com,No,Yes,,,Google search,Meta,,,,,,,,,,,,,,,,,,,,,,
Roblox,,7,https://www.roblox.com/,https://www.meta.com/en-gb/experiences/roblox/5804350719675181/,Yes,Yes,Yes,Yes,quest_query_data_metaverse,Quest,Free,7029,7029,-0.08344896219,728800000,1.07244505,0.9890,A2,76,,https://create.roblox.com/docs,https://www.codewizardshq.com/how-to-make-a-roblox-game/,https://www.youtube.com/@RobloxLevelUp,Custom,Uses Roblox Engine in Roblox Studio,full code,In the game engine using their own script editor with Luau programming language,Lua,Cloud,The experiences are managed in the Creator Dashboard,No peer review,"Creators are encouraged to provide guidelines, but there are no review process from the Roblox part"
ChilloutVR,,21,https://abinteractive.net/,https://store.steampowered.com/app/661130/ChilloutVR/?curator_clanid=4777282,Yes,Yes,Yes,Yes,SteamDB,Steam,Free,,,,,,,,,,,,,,,,,,,,,
ChilloutVR,,20,https://abinteractive.net/,https://store.steampowered.com/app/661130/ChilloutVR/?snr=1_7_7_151_150_1,Yes,Yes,Yes,Yes,steam_query_data_vr_multiplayer,Steam,Free,2332,,,,,,,81%,,,,,,,,,,,,,
ChilloutVR,,28,https://store.steampowered.com/app/1435530/ChilloutVR__Mature_Content_Access/?snr=1_7_7_151_150_1,https://store.steampowered.com/app/661130/ChilloutVR/,Yes,Yes,Yes,Yes,steam_query_data_metaverse,Steam,Free,103,,,,,,,97%,,,,,,,,,,,,,
chilloutvr,,13,https://abinteractive.net/,https://store.steampowered.com/app/661130/ChilloutVR/,Yes,Yes,Yes,Yes,Google search,Steam,Free,2330,,,,,,,,,,,,,,,,,,,,
Cisco Spark in VR,,30,-,https://www.meta.com/en-gb/experiences/pcvr/1902295399788566/,No,Yes,,,Google search,Meta,Not downloadable,,,,,,,,,,,,,,,,,,,,,
Cloud House - Virtual Arts Space,,57,https://store.steampowered.com/app/2206960/Cloud_House__Virtual_Arts_Space/?snr=1_7_7_151_150_2,https://store.steampowered.com/app/2206960/Cloud_House__Virtual_Arts_Space/?snr=1_7_7_151_150_2,,No,,,steam_query_data_metaverse,Steam,,0,,,,,,,-,,,,,,,,,,,,,
Yeeps: Hide and Seek,,2,https://godsofgravityvr.com/pages/yeeps-hide-and-seek,https://www.oculus.com/experiences/quest/7276525889052788/,Yes,Yes,Yes,Yes,QuestDB,Quest,Free,43140,43140,0.8739779036,3297,-0.1945214699,0.6795,A1,,Pay to create,,,https://www.youtube.com/watch?v=I8XVDyZVqNY,In-app,In vr app map creator and simple logic.,block-building,Simple logic block building capabilities. Similar to redstone in minecraft.,,Cloud,Publish a world in their cloud,No peer review,No information
COMICOMI VR云漫展,,205,-,https://store.steampowered.com/app/1681610/COMICOMI_VR/?curator_clanid=4777282,No,Yes,,,SteamDB,Steam,Free,,,,,,,,,,,,,,,,,,,,,
